run,isbn,A_020,A_245,A_250,A_260,A_300,A_041,A_056,A_082,A_653,A_700,B_failures,C_FP,C_FN
mid-presentation,9791199136250,1.0,0.5,,1.0,1.0,,0.0,,0.5714285714285715,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-300: 300$c cm 아님 152 x 224 | R-546: 546 단일 언어 추정 '한국어로 된 자료' | R-246: 246이 245 본표제와 같음 'PD가 묻고 운명이 답하다',"246,500,546",
mid-presentation,9791193375266,1.0,1.0,,1.0,0.0,,0.0,,0.0,1.0,R-245: 245 제1지시기호 '1' | R-546: 546 단일 언어 추정 '한국어로 된 본문',"500,546","300,490"
mid-presentation,9791194843252,1.0,0.5,,1.0,0.5,,1.0,,0.18181818181818182,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-300: 300$c cm 아님 150 x 210 | R-056/082: 056$a 형식 8138 | R-policy: 830 정책 제외 필드 생성,"041,546",
mid-presentation,9788965467892,1.0,0.5,,1.0,0.0,,0.0,,0.18181818181818182,0.6667,R-245: 245$c 사용(책임표시는 $d/$e),,"056,300,490"
mid-presentation,9791194244349,1.0,0.5,,1.0,0.0,,0.0,,0.6666666666666665,1.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-300: 300$c cm 아님 165 x 225 | R-policy: 830 정책 제외 필드 생성; 950 정책 제외 필드 생성 | R-546: 546 단일 언어 추정 '한국어' | R-700-form: 700$a 3개,"041,546",
mid-presentation,9791141602970,1.0,0.5,,1.0,0.0,,0.5,,0.5454545454545454,0.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-056/082: 056$a 형식 8 | R-546: 546 단일 언어 추정 '한국어로 된 자료',546,"300,490,700"
mid-presentation,9791199605336,1.0,0.3333,,1.0,0.5,,0.0,,0.20000000000000004,0.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-300: 300$c cm 아님 210*260 | R-546: 546 단일 언어 추정 '한국어 자료',"500,546","056,700"
mid-presentation,9791194090397,1.0,0.0,,1.0,0.0,,0.0,,0.16666666666666666,0.0,R-245: 245$h 오용 | R-300: 300$c cm 아님 128 x 188 | R-546: 546 단일 언어 추정 '한국어로 기술된 자료',"500,546","490,700"
mid-presentation,9788955885132,1.0,0.5,,1.0,0.0,,0.0,,0.6666666666666665,0.0,R-245: 245$c 사용(책임표시는 $d/$e),,"056,300,490,700"
mid-presentation,9791141615819,1.0,0.3333,,1.0,0.0,,0.5,,0.0,1.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-056/082: 056$a 형식 8,500,300
mid-presentation,9791168343238,1.0,0.3333,,1.0,0.0,,1.0,,0.25,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-056/082: 056$a 형식 1991 | R-546: 546 단일 언어 추정 '한국어로 된 책',"500,546",300
mid-presentation,9791189936594,1.0,1.0,,0.5,0.0,,0.5,,0.0,1.0,R-245: 245 제1지시기호 '1' | R-056/082: 056$a 형식 9,,"246,300,653"
mid-presentation,9791175610729,1.0,0.3333,,1.0,0.0,,1.0,,0.3333333333333333,1.0,R-245: 245$c 사용(책임표시는 $d/$e),,300
mid-presentation,9791124336830,1.0,0.3333,,0.5,1.0,,0.0,,0.22222222222222224,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-300: 300$c cm 아님 128*188 | R-546: 546 단일 언어 추정 '한국어로 된 자료',"500,546",
mid-presentation,9791191592870,1.0,0.3333,,0.5,0.0,,0.0,,0.6,1.0,R-245: 245$c 사용(책임표시는 $d/$e),500,"056,300"
mid-presentation,9788911732906,1.0,0.5,,1.0,0.0,,0.0,,0.4444444444444444,0.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-546: 546 단일 언어 추정 '한국어로 작성된 자료',"500,546","056,300,490,700"
mid-presentation,9791194100133,1.0,0.0,,1.0,0.0,0.0,0.0,,0.18181818181818182,0.6667,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-546: 546 단일 언어 추정 '한국어로 된 그림책',,"041,056,246,300,490,500"
mid-presentation,9788936451684,1.0,0.3333,,1.0,0.5,,0.0,,0.0,0.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-300: 300$c cm 아님 168 x 220,,"056,490,700"
mid-presentation,9788949102689,1.0,0.5,,1.0,0.0,,0.5,,0.0,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-300: 300$c cm 아님 170 x 233 | R-056/082: 056$a 형식 8 | R-policy: 830 정책 제외 필드 생성 | R-546: 546 단일 언어 추정 '한국어로 된 책',"041,500,546",
mid-presentation,9791174760548,1.0,0.3333,,1.0,0.0,,0.5,,0.0,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-056/082: 056$a 형식 8 | R-546: 546 단일 언어 추정 '한국어로 된 책',"500,546","300,490"
mid-presentation,9788936439910,1.0,0.3333,,1.0,0.0,,0.0,,0.0,1.0,R-245: 245$c 사용(책임표시는 $d/$e),,"056,300,490"
mid-presentation,9788972979968,1.0,0.5,,1.0,0.0,,1.0,,0.16666666666666666,0.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 ' ' | R-policy: 950 정책 제외 필드 생성 | R-546: 546 단일 언어 추정 '한국어로 된 책',"500,546","300,700"
mid-presentation,9791194100119,1.0,0.3333,,0.0,0.5,0.0,0.0,,0.0,0.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-300: 300$c cm 아님 140 x 220 | R-500: 500 언어정보(546/041 우선) '번역서',,"041,056,246,260,490,546,653,700"
after-rag,9791194630678,1.0,0.6667,,0.5,0.5,,0.5,,0.0,0.6667,R-710: 710 출판사를 단체저자로 '생능북스'; 710 출판사를 단체저자로 '생능출판사' | R-246: 246이 245 본표제와 같음 '모두의 노션 AI',"246,500,710",
after-rag,9791124248232,1.0,1.0,,1.0,0.5,,1.0,,0.3636363636363636,1.0,,,
after-rag,9791173578823,1.0,1.0,,0.5,0.5,,0.5,,0.25,1.0,,500,246
after-rag,9788960909830,1.0,0.6667,,1.0,0.5,1.0,1.0,,0.0,1.0,R-710: 710 출판사를 단체저자로 '마음산책',710,490
after-rag,9791158366179,1.0,0.6667,,1.0,0.0,,0.0,,0.2,1.0,R-246: 246이 245 본표제와 같음 '끝까지 해 보자 때밀이 장갑',"246,500",
after-rag,9788939231900,1.0,0.6667,,1.0,1.0,,1.0,,0.6666666666666665,1.0,,,
after-rag,9788961555951,1.0,0.7857,,1.0,0.5,,0.0,,0.0,1.0,,,
after-rag,9791192638843,1.0,0.6667,,1.0,0.5,,0.0,,0.4,1.0,,500,
after-rag,9791199657311,1.0,1.0,,1.0,0.5,,1.0,,0.5714285714285715,1.0,,,
after-rag,9791167701510,1.0,0.6667,,1.0,1.0,,0.0,,0.22222222222222224,1.0,R-710: 710 출판사를 단체저자로 '유유',"500,710",056
after-rag,9791199136250,1.0,1.0,,1.0,0.5,,1.0,,0.0,1.0,,500,
after-rag,9791193375266,1.0,1.0,,1.0,1.0,,0.0,,0.0,1.0,,500,490
after-rag,9791194843252,1.0,1.0,,1.0,0.5,,1.0,,0.18181818181818182,1.0,R-246: 246이 245 본표제와 같음 '엄마의 선물',"246,500",
after-rag,9788965467892,1.0,1.0,,1.0,0.5,,0.0,,0.16666666666666666,1.0,R-546: 546 근거 없음을 서술 '한국어 자료로 보이나 번역이나 다국어 정황은 확인되지 않음',"500,546",
after-rag,9791194244349,1.0,1.0,,1.0,0.5,,0.0,,0.5,1.0,,500,
after-rag,9791141602970,1.0,0.5834,,1.0,0.5,,1.0,,0.2222222222222222,0.0308,"R-700-245: 245 책임표시 인명이 700에 없음 ['고마쭈', '김고둥', '김규택', '김재희', '김효은', '난다', '남윤잎', '노석미', '노인경', '밤코', '송선옥', '안유진', '윤정주', '윤지', '이석구', '이윤희', '정인하', '정진호', '최도은', '현민경', '히히']",,490
after-rag,9791199605336,1.0,0.6667,,1.0,0.5,,0.0,,0.4000000000000001,1.0,,500,
after-rag,9791194090397,1.0,0.5,,1.0,0.0,,0.0,,0.4,1.0,,500,"056,490"
after-rag,9788955885132,1.0,1.0,,1.0,0.0,,0.0,,0.75,1.0,R-246: 246이 245 본표제와 같음 '우리 아파트에 염소가 이사 왔다',"246,500",490
after-rag,9791141615819,1.0,0.6667,,1.0,0.5,,1.0,,0.1818181818181818,1.0,R-evidence: 700 review_required 아님,,
after-rag,9791168343238,1.0,0.6667,,1.0,1.0,,1.0,,0.28571428571428575,1.0,,500,
after-rag,9791189936594,1.0,1.0,,0.5,1.0,,0.0,,0.2857142857142857,1.0,R-546: 546 근거 없음을 서술 '자료의 언어 정보는 원문에서 확인되지 않음',"500,546","056,246"
after-rag,9791175610729,1.0,0.6667,,1.0,1.0,,1.0,,0.5454545454545454,1.0,,,
after-rag,9791124336830,1.0,0.6667,,0.5,1.0,,0.0,,0.0,1.0,,"246,500",
after-rag,9791191592870,1.0,0.6667,,0.5,0.5,,0.0,,0.5,1.0,R-710: 710 출판사를 단체저자로 '달그림' | R-246: 246이 245 본표제와 같음 '오징어땅콩전',"246,500,710",
after-rag,9788911732906,1.0,1.0,,1.0,0.0,,0.0,,0.2,1.0,,,490
after-rag,9791194100133,1.0,1.0,,1.0,0.5,1.0,0.0,,0.125,1.0,R-500: 500 언어정보(546/041 우선) '번역서' | R-710: 710 출판사를 단체저자로 '여유당 여유당출판사',710,"246,490"
after-rag,9788936451684,1.0,0.6667,,1.0,0.5,,0.0,,0.22222222222222224,1.0,,500,490
after-rag,9788949102689,1.0,1.0,,1.0,0.5,,0.0,,0.0,1.0,,,
after-rag,9791174760548,1.0,0.6667,,1.0,1.0,,1.0,,0.3076923076923077,1.0,,500,
after-rag,9788936439910,1.0,0.6667,,1.0,1.0,,1.0,,0.0,1.0,,,490
after-rag,9788972979968,1.0,1.0,,1.0,1.0,,1.0,,0.0,0.0,,,
after-rag,9791194100119,1.0,0.6667,,1.0,0.5,1.0,1.0,,0.25,1.0,R-500: 500 언어정보(546/041 우선) '번역서',,"246,490"
after-rag+validator,9791194630678,1.0,0.6667,,0.5,0.5,,0.5,,0.0,0.6667,,500,
after-rag+validator,9791124248232,1.0,1.0,,1.0,0.5,,1.0,,0.3636363636363636,1.0,,,
after-rag+validator,9791173578823,1.0,1.0,,0.5,0.5,,0.5,,0.25,1.0,,500,246
after-rag+validator,9788960909830,1.0,0.6667,,1.0,0.5,1.0,1.0,,0.0,1.0,,,490
after-rag+validator,9791158366179,1.0,0.6667,,1.0,0.0,,0.0,,0.2,1.0,,500,
after-rag+validator,9788939231900,1.0,0.6667,,1.0,1.0,,1.0,,0.6666666666666665,1.0,,,
after-rag+validator,9788961555951,1.0,0.7857,,1.0,0.5,,0.0,,0.0,1.0,,,
after-rag+validator,9791192638843,1.0,0.6667,,1.0,0.5,,0.0,,0.4,1.0,,500,
after-rag+validator,9791199657311,1.0,1.0,,1.0,0.5,,1.0,,0.5714285714285715,1.0,,,
after-rag+validator,9791167701510,1.0,0.6667,,1.0,1.0,,0.0,,0.22222222222222224,1.0,,500,056
after-rag+validator,9791199136250,1.0,1.0,,1.0,0.5,,1.0,,0.0,1.0,,500,
after-rag+validator,9791193375266,1.0,1.0,,1.0,1.0,,0.0,,0.0,1.0,,500,490
after-rag+validator,9791194843252,1.0,1.0,,1.0,0.5,,1.0,,0.18181818181818182,1.0,,500,
after-rag+validator,9788965467892,1.0,1.0,,1.0,0.5,,0.0,,0.16666666666666666,1.0,,500,
after-rag+validator,9791194244349,1.0,1.0,,1.0,0.5,,0.0,,0.5,1.0,,500,
after-rag+validator,9791141602970,1.0,0.5834,,1.0,0.5,,1.0,,0.2222222222222222,0.0308,"R-700-245: 245 책임표시 인명이 700에 없음 ['고마쭈', '김고둥', '김규택', '김재희', '김효은', '난다', '남윤잎', '노석미', '노인경', '밤코', '송선옥', '안유진', '윤정주', '윤지', '이석구', '이윤희', '정인하', '정진호', '최도은', '현민경', '히히']",,490
after-rag+validator,9791199605336,1.0,0.6667,,1.0,0.5,,0.0,,0.4000000000000001,1.0,,500,
after-rag+validator,9791194090397,1.0,0.5,,1.0,0.0,,0.0,,0.4,1.0,,500,"056,490"
after-rag+validator,9788955885132,1.0,1.0,,1.0,0.0,,0.0,,0.75,1.0,,500,490
after-rag+validator,9791141615819,1.0,0.6667,,1.0,0.5,,1.0,,0.1818181818181818,1.0,R-evidence: 700 review_required 아님,,
after-rag+validator,9791168343238,1.0,0.6667,,1.0,1.0,,1.0,,0.28571428571428575,1.0,,500,
after-rag+validator,9791189936594,1.0,1.0,,0.5,1.0,,0.0,,0.2857142857142857,1.0,,500,"056,246"
after-rag+validator,9791175610729,1.0,0.6667,,1.0,1.0,,1.0,,0.5454545454545454,1.0,,,
after-rag+validator,9791124336830,1.0,0.6667,,0.5,1.0,,0.0,,0.0,1.0,,"246,500",
after-rag+validator,9791191592870,1.0,0.6667,,0.5,0.5,,0.0,,0.5,1.0,,500,
after-rag+validator,9788911732906,1.0,1.0,,1.0,0.0,,0.0,,0.2,1.0,,,490
after-rag+validator,9791194100133,1.0,1.0,,1.0,0.5,1.0,0.0,,0.125,1.0,R-500: 500 언어정보(546/041 우선) '번역서',,"246,490"
after-rag+validator,9788936451684,1.0,0.6667,,1.0,0.5,,0.0,,0.22222222222222224,1.0,,500,490
after-rag+validator,9788949102689,1.0,1.0,,1.0,0.5,,0.0,,0.0,1.0,,,
after-rag+validator,9791174760548,1.0,0.6667,,1.0,1.0,,1.0,,0.3076923076923077,1.0,,500,
after-rag+validator,9788936439910,1.0,0.6667,,1.0,1.0,,1.0,,0.0,1.0,,,490
after-rag+validator,9788972979968,1.0,1.0,,1.0,1.0,,1.0,,0.0,0.0,,,
after-rag+validator,9791194100119,1.0,0.6667,,1.0,0.5,1.0,1.0,,0.25,1.0,R-500: 500 언어정보(546/041 우선) '번역서',,"246,490"
